"attribution_id","incident_id","attribution_year","attribution_month","attribution_day","attribution_date","attribution_basis","attribution_type","attribution_subtype","attributing_country","attributing_actor","attributing_company","settled_attribution","initiator_name","initiator_alpha_2","initiator_country","initiator_category","initiator_subcategory"
33,25,"2011","","","2011","Contested attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","PLA Unit 61398","CN","China","State affiliated actor","Not available"
36,27,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
37,27,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
38,28,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","Unknown","Unknown","Non-state-group","Hacktivist(s)"
39,29,"","","","Not available","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","Unknown","CN","China","Unknown","Not available"
40,29,"","","","Not available","Attribution by third-party","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Unknown","Not available"
42,31,"2008","","","2008","Attribution by receiver government / state entity","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State","Not available"
43,32,"2006","","","2006","IT-security community attributes attacker","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","Unknown","CN","China","State affiliated actor","Not available"
44,32,"2006","","","2006","Attribution by receiver government / state entity","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
45,33,"2006","","","2006","Media-based attribution","Media report (e.g., Reuters makes an attribution statement, without naming further sources)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
48,35,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","CN, RU","China, Russia","Unknown","Not available"
51,37,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","TR","Turkey","Non-state-group","Hacktivist(s)"
52,38,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","SE","Sweden","Non-state-group","Hacktivist(s)"
53,39,"2016","","","2016","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Infy","Unknown","Unknown","Unknown","Not available"
54,40,"2014","","","2014","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Zigzag Hail fka DUBNIUM/Dark Hotel/Tapaoux","KR","Korea, Republic of","State affiliated actor","Not available"
56,42,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"PoisonIvy/APT-C-01","Unknown","Unknown","Unknown","Not available"
57,43,"2014","","","2014","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Careto/The Mask","Unknown","Unknown","State affiliated actor","Not available"
58,44,"2014","","","2014","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Putter Panda/APT 2","CN","China","State","Not available"
64,48,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
65,48,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
66,49,"2008","","","2008","Media-based attribution","Media report (e.g., Reuters makes an attribution statement, without naming further sources)","Not available","Not available","Not available","Not available",True,"BND","DE","Germany","State","Not available"
67,50,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Not attributed","Not attributed","Not attributed","Not attributed","Not available"
68,51,"2017","","","2017","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available",True,"Unknown","RU","Russia","Non-state-group","Hacktivist(s)"
69,52,"2007","","","2007","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Armenian State Service","AM","Armenia","State","Not available"
70,53,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Bacioglu","AZ","Azerbaijan","Individual hacker(s)","Not available"
71,54,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Axteam","AM","Armenia","Non-state-group","Hacktivist(s)"
72,55,"2014","","","2014","Receiver attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","KP","Korea, Democratic People's Republic of","State","Not available"
73,55,"2014","","","2014","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available","","Unknown","KP","Korea, Democratic People's Republic of","State","Not available"
74,56,"2007","","","2007","IT-security community attributes attacker","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available","","Not attributed","Not attributed","Not attributed","Not attributed","Not available"
75,56,"2007","","","2007","Attribution by receiver government / state entity","Political statement / report (e.g., on government / state agency websites)","Not available","Not available","Not available","Not available",True,"Unknown","RU","Russia","State affiliated actor","Not available"
76,56,"2007","","","2007","Contested attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available","","Unknown","RU","Russia","State affiliated actor","Not available"
77,57,"2007","","","2007","Attribution by receiver government / state entity","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State","Not available"
78,58,"2007","","","2007","Attribution by receiver government / state entity","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State","Not available"
79,59,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","TR","Turkey","Non-state-group","Hacktivist(s)"
80,60,"","","","Not available","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Not attributed","Not attributed","Not attributed","Not attributed","Not available"
81,61,"","","","Not available","Receiver attributes attacker","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Unknown","Not available"
82,62,"2009","","","2009","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available",True,"Unknown","IL","Israel","State","Not available"
83,63,"2011","","","2011","Attribution by receiver government / state entity","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
85,65,"2007","","","2007","Attribution by receiver government / state entity","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
86,66,"2013","","","2013","Attribution by receiver government / state entity","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State","Not available"
92,69,"2018","","","2018","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available","","Blackgear/Topgear/Comnie","CN","China","State affiliated actor","Not available"
93,69,"2018","","","2018","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Blackgear/Topgear/Comnie","Unknown","Unknown","Unknown","Not available"
94,70,"2013","","","2013","Media-based attribution","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available","","GCHQ","GB","United Kingdom","State","Not available"
95,70,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"GCHQ","GB","United Kingdom","State","Not available"
96,71,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
97,71,"2013","","","2013","Media-based attribution","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
98,72,"2013","","","2013","Media-based attribution","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available","","GCHQ","GB","United Kingdom","State","Not available"
99,72,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"GCHQ","GB","United Kingdom","State","Not available"
100,73,"2014","","","2014","Attribution by receiver government / state entity","Domestic legal action","Not available","Not available","Not available","Not available",True,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","CN","China","State","Not available"
100,73,"2014","","","2014","Attribution by receiver government / state entity","Domestic legal action","Not available","Not available","Not available","Not available",True,"PLA Unit 61398","CN","China","State","Not available"
104,75,"2015","","","2015","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/Midnight Blizzard fka NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR)","RU","Russia","State affiliated actor","Not available"
105,76,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Anonymous","Unknown","Unknown","Non-state-group","Hacktivist(s)"
106,77,"","","","Not available","IT-security community attributes attacker","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Unknown","Not available"
107,78,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Unknown","Not available"
108,79,"2011","","","2011","Attribution by third-party","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","CN","China","State","Not available"
108,79,"2011","","","2011","Attribution by third-party","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"PLA Unit 61398","CN","China","State","Not available"
109,80,"2008","","","2008","Attribution by receiver government / state entity","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
110,81,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Non-state-group","Hacktivist(s)"
112,83,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","CL","Chile","Individual hacker(s)","Not available"
113,84,"","","","Not available","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Unknown","RU","Russia","Non-state-group","Hacktivist(s)"
114,85,"","","","Not available","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Ghostnet","CN","China","Unknown","Not available"
115,86,"2020","","","2020","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"CIA","US","United States","State","Not available"
120,89,"2020","","","2020","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"APT-C-39/CIA","US","United States","State","Not available"
122,91,"2008","","","2008","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available","","Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)","RU","Russia","State","Not available"
123,91,"2008","","","2008","Attribution by receiver government / state entity","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)","RU","Russia","State","Not available"
124,92,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Hindu Militant Group","IN","India","Non-state-group","Hacktivist(s)"
125,93,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Pakistan Cyber Army","PK","Pakistan","Non-state-group","Hacktivist(s)"
126,94,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Anonymous/Arabic Hackers","Unknown","Unknown","Non-state-group","Hacktivist(s)"
127,95,"","","","Not available","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Non-state-group","Hacktivist(s)"
128,96,"","","","Not available","Attribution by receiver government / state entity","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Unknown","Unknown","Unknown","Non-state-group","Criminal(s)"
129,97,"","","","Not available","Receiver attributes attacker","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Unknown","IQ","Iraq","Non-state-group","Private technology companies / hacking for hire groups without state affiliation / research entities"
130,98,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Platinum","Unknown","Unknown","Unknown","Not available"
131,99,"2018","","","2018","Attribution by third-party","Political statement / report (e.g., on government / state agency websites)","Not available","Not available","Not available","Not available",True,"Axiom/APT17/Aurora Panda/Bronze Keystone/Tailgater Team/Group 72/Dogfish/G0001 (MSS, Jinan Bureau) < Winnti Umbrella/G0044 ","CN","China","State affiliated actor","Not available"
132,100,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
133,100,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
134,101,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
135,101,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
136,102,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"DarkUniverse","Unknown","Unknown","Unknown","Not available"
138,104,"","","","Not available","Receiver attributes attacker","Political statement / report (e.g., on government / state agency websites)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Unknown","Not available"
139,105,"2011","","","2011","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","Unknown","Unknown","State","Not available"
144,108,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
145,108,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
148,110,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","NSA/Equation Group","US","United States","State","Not available"
149,110,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"NSA/Equation Group","US","United States","State","Not available"
150,111,"2017","","","2017","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","PA","Panama","State","Not available"
151,111,"2017","","","2017","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","Unknown","PA","Panama","State","Not available"
152,112,"2009","","","2009","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","RU","Russia","State affiliated actor","Not available"
153,113,"","","","Not available","Receiver attributes attacker","Statement in media report and political statement/technical report","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Unknown","Not available"
154,114,"","","","Not available","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Not attributed","Not attributed","Not attributed","Not attributed","Not available"
155,115,"","","","Not available","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Not attributed","Not attributed","Not attributed","Not attributed","Not available"
156,116,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","KR","Korea, Republic of","Non-state-group","Hacktivist(s)"
157,117,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","JP","Japan","Non-state-group","Hacktivist(s)"
163,121,"","","","Not available","Attacker confirms","Self-attribution in the course of the attack (e.g., via defacement statements on websites)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Non-state-group","Hacktivist(s)"
164,122,"","","","Not available","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available",True,"Unknown","RU","Russia","Unknown","Not available"
170,126,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","Unknown","Not available"
171,127,"2012","","","2012","Media-based attribution","Attribution given, type unclear","Not available","Not available","Not available","Not available","","Unknown","IL, US","Israel, United States","State","Not available"
172,127,"2012","","","2012","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","Unknown","Unknown","State affiliated actor","Not available"
173,127,"2012","","","2012","Attribution by third-party","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available","","Unknown","IL, US","Israel, United States","State","Not available"
174,128,"2016","","","2016","Attribution by receiver government / state entity","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
175,129,"2011","","","2011","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","MY","Malaysia","State affiliated actor","Not available"
176,130,"2014","","","2014","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Secret Blizzard fka KRYPTON/G0010/UAC-0003 (FSB Centre 16, Unit 71330)","RU","Russia","State affiliated actor","Not available"
177,131,"2011","","","2011","Attribution by receiver government / state entity","Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)","Not available","Not available","Not available","Not available",True,"Inter-Services Intelligence","PK","Pakistan","State","Not available"
178,132,"2015","","","2015","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Emissary Panda/APT27/Lucky Mouse/BRONZE UNION/TEMP.Hippo/Group 35/TG-3390/Iron Tiger/ZipToken/G0027","CN","China","State affiliated actor","Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
181,134,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"GCHQ","GB","United Kingdom","State","Not available"
182,134,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","GCHQ","GB","United Kingdom","State","Not available"
183,135,"2011","","","2011","Attribution by receiver government / state entity","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available",True,"Unknown","CN","China","State affiliated actor","Not available"
184,136,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"El Machete","BR","Brazil","Unknown","Not available"
185,137,"2013","","","2013","Media-based attribution","Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media","Not available","Not available","Not available","Not available","","GCHQ","GB","United Kingdom","State","Not available"
186,137,"2013","","","2013","Attribution by third-party","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"GCHQ","GB","United Kingdom","State","Not available"
187,138,"2016","","","2016","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)","Unknown","Unknown","Unknown","Not available"
187,138,"2016","","","2016","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"PLA Unit 61398","Unknown","Unknown","Unknown","Not available"
188,139,"","","","Not available","IT-security community attributes attacker","Technical report (e.g., by IT-companies, Citizen Lab, EFF)","Not available","Not available","Not available","Not available",True,"Unknown","IN","India","Non-state-group","Criminal(s)"
